city	age	name	gender	selection
City1	38	Ryan Adams	Female	C
City1	32	Ronald Moody	Other	B
City1	22	Nicholas Stout	Other	A
City1	26	Rickey Bowers	Other	A
City1	73	Julie Glover	Male	A
City1	63	Cody Weber	Male	B
City1	45	Jonathan Horn	Male	C
City1	24	Victoria Peters MD	Male	C
City1	46	Jennifer Martin	Male	A
City1	74	Teresa Zamora	Other	C
City1	63	Shelley Hill	Male	B
City1	29	Seth Harris	Male	A
City1	23	Grace Green	Female	A
City1	74	Kyle Salas	Male	A
City1	27	Nathaniel Jefferson	Female	A
City1	74	Jessica Wallace MD	Other	B
City1	60	Chad Edwards	Female	A
City1	28	Jessica Solis	Other	C
City1	27	Evan Clarke	Male	B
City1	38	Lisa Bradley	Female	B
City1	46	Mrs. Emily Carlson	Male	B
City1	54	Jeremy Rice	Female	A
City1	38	Janice Henderson	Female	C
City1	35	Andrea Clay	Female	A
City1	61	Peter Frank	Female	C
City1	23	Yvonne Nichols	Male	A
City1	68	Christopher Chambers	Other	A
City1	37	Sheri Ortiz	Other	C
City1	61	Angel Horn	Male	C
City1	77	Jesse Yoder	Male	A
City1	68	Melinda Browning	Female	C
City1	31	Mary Parker	Male	B
City1	21	Zachary Vazquez	Male	A
City1	45	Todd Hernandez	Male	A
City1	53	Melissa Clark	Female	A
City1	54	Daniel Morales	Female	C
City1	28	Katherine Smith	Female	B
City1	38	Brady Joseph	Other	C
City1	48	Darin Taylor	Female	B
City1	23	Patricia Torres	Other	C
City1	55	Samantha Young	Female	A
City1	39	Judy Kline	Other	C
City1	67	Luis English	Female	B
City1	60	Anthony Jones	Other	A
City1	33	Connie Garcia	Male	C
City1	40	Carrie Lee	Female	C
City1	21	Danielle Bell	Other	B
City1	76	Jacob Harris	Male	C
City1	74	Benjamin Stephenson	Female	A
City1	30	Richard Campbell	Female	A
City1	30	Christopher Thompson	Male	B
City1	78	Melissa Harris	Female	A
City1	58	Amy Ryan	Female	C
City1	50	Julie Gonzalez	Other	B
City1	68	Marilyn Nelson	Male	C
City1	34	Curtis Williams	Other	C
City1	65	Courtney Johnson	Male	A
City1	59	Ryan Brennan	Male	B
City1	39	Gregory White	Other	B
City1	55	Catherine Martinez	Other	B
City1	54	Kristine Ford	Male	A
City1	63	Glenn Anderson	Female	C
City1	38	Jesse Wagner	Female	A
City1	27	George Myers	Female	B
City1	19	Gilbert Jackson	Other	B
City1	75	Kristina Gould	Male	A
City1	73	Judy Day	Other	A
City1	71	Donna Anderson	Female	B
City1	75	Karen Rocha	Male	C
City1	22	Jennifer Bullock	Male	A
City1	36	Troy White	Female	B
City1	60	Joe Peck	Other	A
City1	77	Amanda Rosario	Other	A
City1	75	Crystal Flores	Male	B
City1	60	Maria Schaefer	Male	C
City1	73	Brandon Martinez	Male	C
City1	47	Robert Carroll	Female	C
City1	61	Michael Bishop	Other	C
City1	73	Lisa Gonzalez	Other	B
City1	52	Dr. Andrew Warren	Other	B
City1	41	Ryan Diaz	Other	A
City1	33	Daniel Schultz	Female	A
City1	57	Christine Todd	Male	A
City1	42	Randy Evans	Other	C
City1	45	Amanda Hess	Other	C
City1	22	Paul Haynes	Other	B
City1	69	Louis Valencia	Male	C
City1	65	Anthony Murphy	Male	A
City1	46	Nicholas Williams	Female	A
City1	25	Ashley Davis	Other	A
City1	64	Randy Casey	Other	C
City1	19	Becky Williams	Male	A
City1	18	Jack Byrd	Male	A
City1	28	Steven Caldwell	Other	C
City1	78	Jenna Tapia	Female	B
City1	72	Nicholas Acosta	Female	B
City1	35	Dana Sanford	Other	B
City1	42	Justin Dunlap	Female	C
City1	37	Erin Jennings	Male	C
City1	52	Aaron Robinson	Female	C
